,icao_designator,callsign_type,frequency
189,EGPE,APPROACH,122.605
190,EGPE,TOWER,118.405
191,EGPE,TOWER,122.605
192,EGPE,TOWER,122.605
193,EGPE,RADAR,122.605
194,EGPE,INFORMATION,109.200
195,EGPE,FIRE,121.600
196,EGPI,INFORMATION,123.155
197,EGPI,FIRE,121.600
198,EGNS,APPROACH,135.905
199,EGNS,TOWER,119.005
200,EGNS,RADAR,120.855
201,EGNS,RADAR,125.305
202,EGNS,RADAR,135.905
203,EGNS,INFORMATION,123.880
204,EGNS,FIRE,121.600
205,EGJJ,APPROACH,118.555
206,EGJJ,APPROACH,120.305
207,EGJJ,GROUND,121.905
208,EGJJ,TOWER,119.455
209,EGJJ,INFORMATION,134.680
210,EGJJ,FIRE,121.600
211,EGJJ,FIRE,120.450
212,EGJJ,FIRE,125.205
213,EGJJ,FIRE,125.205
214,EGBP,INFORMATION,118.430
215,EGPA,APPROACH,118.305
216,EGPA,TOWER,118.305
217,EGPA,INFORMATION,118.305
218,EGPA,INFORMATION,108.600
219,EGPA,FIRE,121.600
220,EGHC,TOWER,120.255
221,EGHC,FIRE,121.600
222,EGKH,RADIO,122.210
223,EGNM,APPROACH,134.580
224,EGNM,DELIVERY,121.805
225,EGNM,TOWER,120.305
226,EGNM,DIRECTOR,125.380
227,EGNM,RADAR,134.580
228,EGNM,INFORMATION,118.030
229,EGNM,FIRE,121.600
230,EGBG,RADIO,122.130
231,EGET,INFORMATION,125.305
232,EGET,RADIO,125.305
233,EGGP,APPROACH,119.855
234,EGGP,GROUND,121.955
235,EGGP,GROUND,126.355
236,EGGP,TOWER,126.355
237,EGGP,RADAR,118.455
238,EGGP,RADAR,119.855
239,EGGP,INFORMATION,124.330
240,EGGP,FIRE,121.600
241,EGLC,DIRECTOR,132.700
242,EGLC,GROUND,121.830
243,EGLC,TOWER,118.080
244,EGLC,TOWER,129.455
245,EGLC,RADAR,125.625
246,EGLC,DIRECTOR,128.025
247,EGLC,DIRECTOR,132.700
248,EGLC,DIRECTOR,133.455
249,EGLC,INFORMATION,136.355
250,EGLC,INFORMATION,118.080
251,EGLC,FIRE,121.600
252,EGKK,DIRECTOR,118.950
253,EGKK,DIRECTOR,126.825
254,EGKK,DIRECTOR,129.025
255,EGKK,DELIVERY,121.955
256,EGKK,GROUND,121.805
257,EGKK,TOWER,124.230
258,EGKK,TOWER,134.230
259,EGKK,INFORMATION,136.525
260,EGKK,FIRE,121.600
261,EGLL,DIRECTOR,119.730
262,EGLL,DIRECTOR,120.400
263,EGLL,DIRECTOR,127.525
264,EGLL,DIRECTOR,134.980
265,EGLL,DELIVERY,121.980
266,EGLL,GROUND,121.705
267,EGLL,GROUND,121.855
268,EGLL,GROUND,121.905
269,EGLL,TOWER,118.505
270,EGLL,TOWER,118.705
271,EGLL,TOWER,124.475
272,EGLL,RADAR,125.625
273,EGLL,RADAR,125.625
274,EGLL,RADAR,127.525
275,EGLL,INFORMATION,113.750
276,EGLL,INFORMATION,117.000
277,EGLL,INFORMATION,128.080
278,EGLL,INFORMATION,121.935
279,EGLL,FIRE,121.600
280,EGGW,RADAR,129.550
281,EGGW,RADAR,132.050
282,EGGW,DELIVERY,121.885
283,EGGW,GROUND,121.755
284,EGGW,TOWER,126.725
285,EGGW,TOWER,132.555
286,EGGW,DIRECTOR,128.750
287,EGGW,INFORMATION,120.580
288,EGGW,FIRE,121.600
289,EGSS,RADAR,120.625
290,EGSS,RADAR,132.050
291,EGSS,DELIVERY,121.955
292,EGSS,GROUND,121.730
293,EGSS,TOWER,123.805
294,EGSS,TOWER,125.550
295,EGSS,DIRECTOR,136.200
296,EGSS,INFORMATION,114.550
297,EGSS,INFORMATION,127.180
298,EGSS,INFORMATION,121.555
299,EGSS,FIRE,121.600
300,EGAE,APPROACH,123.625
301,EGAE,TOWER,134.155
302,EGAE,INFORMATION,119.380
303,EGAE,EMERGENCY,121.500
304,EGAE,FIRE,121.600
305,EGMD,APPROACH,120.705
306,EGMD,TOWER,119.380
307,EGMD,INFORMATION,129.230
308,EGMD,FIRE,121.600
309,EGCC,DIRECTOR,121.355
310,EGCC,RADAR,118.580
311,EGCC,RADAR,135.005
312,EGCC,DELIVERY,121.705
313,EGCC,DELIVERY,121.705
314,EGCC,GROUND,121.855
315,EGCC,TOWER,118.630
316,EGCC,TOWER,119.405
317,EGCC,GROUND,121.705
318,EGCC,GROUND,121.705
319,EGCC,INFORMATION,113.550
320,EGCC,INFORMATION,128.180
321,EGCC,INFORMATION,121.980
322,EGCC,FIRE,121.600
323,EGCB,INFORMATION,120.255
324,EGNF,RADIO,123.280
325,EGNT,APPROACH,124.380
326,EGNT,GROUND,121.730
327,EGNT,TOWER,119.705
328,EGNT,DIRECTOR,125.830
329,EGNT,RADAR,124.380
330,EGNT,INFORMATION,118.380
331,EGNT,FIRE,121.600
332,EGHQ,APPROACH,133.405
333,EGHQ,GROUND,121.955
334,EGHQ,TOWER,134.380
335,EGHQ,RADAR,127.930
336,EGHQ,INFORMATION,127.405
337,EGHQ,EMERGENCY,121.500
338,EGHQ,FIRE,121.600
339,EGAD,RADIO,128.305
340,EGBK,RADIO,122.705
341,EGSH,APPROACH,119.355
342,EGSH,TOWER,124.255
343,EGSH,DIRECTOR,128.330
344,EGSH,RADAR,119.355
345,EGSH,INFORMATION,128.630
346,EGSH,FIRE,121.600
347,EGBN,RADIO,134.880
348,EGEO,INFORMATION,118.055
349,EGTK,APPROACH,125.090
350,EGTK,GROUND,121.955
351,EGTK,TOWER,133.430
352,EGTK,DIRECTOR,119.980
353,EGTK,RADAR,125.090
354,EGTK,RADAR,136.230
355,EGTK,FIRE,121.600
356,EGPT,RADIO,121.080
357,EGSF,RADIO,129.725
358,EGPK,APPROACH,129.450
359,EGPK,TOWER,118.150
360,EGPK,TOWER,127.155
361,EGPK,RADAR,124.630
362,EGPK,RADAR,129.450
363,EGPK,INFORMATION,121.130
364,EGPK,FIRE,121.600
365,EGKR,TOWER,119.605
366,EGKR,INFORMATION,125.305
367,EGNE,RADIO,130.480
368,EGTO,INFORMATION,122.255
369,EGCF,RADIO,130.415
370,EGHE,APPROACH,124.880
371,EGHE,TOWER,124.880
372,EGHE,FIRE,121.600
373,EGHE,RADIO,124.880
374,EGCJ,RADIO,122.610
375,EGBS,INFORMATION,118.155
376,EGBS,RADIO,118.155
377,EGKA,APPROACH,123.155
378,EGKA,TOWER,123.155
379,EGKA,TOWER,125.405
380,EGKA,INFORMATION,130.980
381,EGKA,RADIO,123.155
382,EGCV,RADIO,122.455
383,EGHI,RADAR,120.230
384,EGHI,RADAR,122.730
385,EGHI,TOWER,118.205
386,EGHI,INFORMATION,130.880
387,EGHI,FIRE,121.600
388,EGMC,APPROACH,130.780
389,EGMC,TOWER,127.730
390,EGMC,DIRECTOR,128.965
391,EGMC,RADAR,130.780
392,EGMC,INFORMATION,136.055
393,EGMC,FIRE,121.600
394,EGMC,EMERGENCY,121.500
395,EGSG,RADIO,122.805
396,EGPO,APPROACH,119.480
397,EGPO,TOWER,119.480
398,EGPO,INFORMATION,119.480
399,EGPO,INFORMATION,115.100
400,EGPO,FIRE,121.600
401,EGPB,TOWER,118.255
402,EGPB,RADAR,123.155
403,EGPB,RADAR,131.300
404,EGPB,INFORMATION,118.255
405,EGPB,INFORMATION,125.855
406,EGPB,FIRE,121.600
407,EGNV,APPROACH,118.855
408,EGNV,TOWER,119.805
409,EGNV,DIRECTOR,128.855
410,EGNV,RADAR,118.855
411,EGNV,INFORMATION,132.380
412,EGNV,FIRE,121.600
413,EGFH,FIRE,121.600
414,EGFH,RADIO,119.705
415,EGBM,RADIO,124.080
416,EGPU,INFORMATION,122.705
417,EGNL,INFORMATION,123.205
418,EGNO,TOWER,130.805
419,EGNO,RADAR,129.530
420,EGNO,RADAR,129.730
421,EGNO,INFORMATION,121.730
422,EGNO,FIRE,121.600
423,EGBW,INFORMATION,124.030
424,EGCW,RADIO,128.005
425,EGLM,RADIO,122.605
426,EGPC,APPROACH,119.705
427,EGPC,TOWER,119.705
428,EGPC,INFORMATION,119.705
429,EGPC,INFORMATION,113.600
430,EGPC,FIRE,121.600
431,EGNW,RADIO,122.455
432,EGBO,INFORMATION,123.005
433,EGTB,RADIO,126.555
434,EGHG,APPROACH,130.805
435,EGHG,TOWER,125.405
