,icao_designator,runway,location,elevation,bearing,length
108,EGBG,34,N52.36.15.00 W001.01.47.00,463.0,329.90,418
109,EGKK,08L,N51.08.51.04 W000.12.29.17,194.8,077.63,2561
110,EGKK,26R,N51.09.03.69 W000.10.57.40,194.8,257.65,2561
111,EGKK,08R,N51.08.45.12 W000.12.24.52,196.3,077.63,3317
112,EGKK,26L,N51.09.02.42 W000.10.19.00,195.9,257.65,3317
113,EGGW,07,N51.52.19.25 W000.23.00.91,515.2,074.38,2162
114,EGGW,25,N51.52.37.36 W000.21.16.15,508.5,254.40,2162
115,EGSS,04,N51.52.37.35 E000.13.22.30,332.3,042.90,3049
116,EGSS,22,N51.53.42.57 E000.15.00.16,347.6,222.90,3049
117,EGSS,04C,N51.52.57.52 E000.13.52.56,337.3,042.87,3169
118,EGSS,22C,N51.53.22.40 E000.14.29.88,334.4,222.88,3169
119,EGCC,05L,N53.20.51.20 W002.17.15.95,211.8,051.06,3048
120,EGCC,23R,N53.21.40.75 W002.15.33.41,249.1,231.09,3048
121,EGCC,05R,N53.19.55.11 W002.18.38.38,186.3,051.04,3050
122,EGCC,23L,N53.20.53.35 W002.16.37.95,227.0,231.07,3050
123,EGNF,06,N53.18.57.45 W001.11.54.83,248.1,055.40,553
124,EGNF,24,N53.19.03.60 W001.11.39.94,223.6,235.41,553
125,EGNF,18,N53.19.06.08 W001.11.44.75,224.5,174.80,382
126,EGNF,36,N53.18.56.73 W001.11.43.33,233.7,354.80,382
127,EGNT,07,N55.02.02.35 W001.42.16.68,263.3,065.19,2330
128,EGNT,25,N55.02.30.46 W001.40.30.76,238.6,245.21,2330
129,EGHQ,12,N50.26.49.34 W005.00.43.25,306.5,120.51,2744
130,EGHQ,30,N50.26.09.17 W004.58.56.56,385.3,300.54,2744
131,EGBK,03L,N52.18.08.97 W000.47.42.25,391.2,024.56,1258
132,EGBK,21R,N52.18.34.08 W000.47.23.53,420.2,204.56,1258
133,EGBK,03R,N52.18.08.58 W000.47.36.44,388.8,024.55,671
134,EGBK,21L,N52.18.28.33 W000.47.21.72,410.1,204.56,671
135,EGBK,05,N52.18.10.10 W000.47.37.55,390.7,051.91,603
136,EGBK,23,N52.18.22.13 W000.47.12.51,390.0,231.92,603
137,EGBK,14,N52.18.35.79 W000.47.39.75,419.2,133.74,801
138,EGBK,32,N52.18.17.87 W000.47.09.20,384.4,313.74,801
139,EGSH,09,N52.40.32.99 E001.16.08.60,117.0,089.28,1842
140,EGSH,27,N52.40.33.72 E001.17.46.58,105.6,269.30,1842
141,EGBN,03,N52.54.59.00 W001.04.46.00,114.0,028.70,821
142,EGBN,21,N52.55.23.00 W001.04.25.00,127.0,208.70,821
143,EGTK,01,N51.49.52.10 W001.19.18.22,248.9,010.68,1506
144,EGTK,19,N51.50.34.05 W001.19.05.45,258.3,190.68,1506
145,EGPT,03,N56.26.15.91 W003.22.37.88,390.0,028.34,853
146,EGPT,21,N56.26.40.19 W003.22.14.24,386.0,208.34,853
147,EGPT,09,N56.26.15.46 W003.22.28.78,392.0,088.29,609
148,EGPT,27,N56.26.15.91 W003.22.01.60,388.0,268.29,609
149,EGPT,15,N56.26.32.47 W003.22.15.16,394.0,149.48,622
150,EGPT,33,N56.26.15.13 W003.21.56.71,386.0,329.49,622
151,EGKR,07L,N51.12.48.83 W000.08.35.69,211.3,074.43,683
152,EGKR,25R,N51.12.54.76 W000.08.01.79,198.7,254.44,683
153,EGKR,07R,N51.12.45.06 W000.08.41.49,221.6,074.61,897
154,EGKR,25L,N51.12.52.76 W000.07.56.95,197.2,254.62,897
155,EGKR,18,N51.13.03.36 W000.08.26.40,206.4,181.02,851
156,EGKR,36,N51.12.40.72 W000.08.27.04,199.9,001.02,851
157,EGTO,02L,N51.20.57.57 E000.30.10.34,418.0,021.32,830
158,EGTO,20R,N51.21.22.52 E000.30.25.89,390.0,201.32,830
159,EGTO,02R,N51.20.56.15 E000.30.11.34,420.0,021.15,684
160,EGTO,20L,N51.21.17.26 E000.30.24.38,394.0,201.15,684
161,EGHE,09,N49.54.47.80 W006.17.43.44,102.5,087.10,522
162,EGHE,27,N49.54.48.62 W006.17.18.36,104.6,267.10,522
163,EGHE,14,N49.54.55.21 W006.17.40.14,103.9,139.39,695
164,EGBS,08,N52.14.28.27 W002.53.14.31,317.0,082.71,836
165,EGBS,26,N52.14.31.70 W002.52.30.59,301.3,262.72,836
166,EGCV,05,N52.49.53.57 W002.46.32.43,271.0,045.18,799
167,EGCV,23,N52.50.11.77 W002.46.02.19,275.0,225.18,799
