,name,callsign,frequency,boundary,upper_fl,lower_fl
10,LONDON TMA 8,LONDON ACC,120.180,N52.00.45.00 E000.47.24.00/N51.55.48.00 E001.07.05.00/N51.59.04.00 E001.23.02.00/N51.52.22.00 E001.26.35.00/N51.39.05.00 E001.25.00.00/N51.22.47.00 E001.15.49.00/N50.58.42.00 E001.02.27.00/N50.45.07.00 E000.45.00.00/N50.40.00.00 E000.30.00.00/N50.40.00.00 W000.22.20.00/N50.55.00.00 W000.38.14.00/N50.55.00.00 W000.22.56.00/N50.54.29.00 W000.21.15.00/N50.51.57.00 W000.04.18.00/N51.09.06.00 E000.46.18.00/N51.21.20.00 E000.50.00.00/N51.28.29.00 E000.50.00.00/N51.34.17.00 E000.50.00.00/N51.36.18.00 E000.55.32.00/N51.44.31.00 E000.50.38.00/N52.00.45.00 E000.47.24.00,000,000
11,LONDON TMA 9,LONDON ACC,121.230,N52.11.04.00 W000.21.59.00/N52.11.04.00 E000.05.28.00/N52.06.06.00 E000.25.50.00/N52.06.06.00 W000.17.12.00/N52.11.04.00 W000.21.59.00,000,000
12,LONDON TMA 10,LONDON ACC,119.780,N51.44.57.00 W001.00.00.00/N51.34.51.00 W000.55.16.00/N51.34.33.00 W001.00.00.00/N51.33.02.00 W001.00.00.00/N51.34.23.00 W001.11.38.00/N51.44.57.00 W001.00.00.00,000,000
13,LONDON TMA 11,LONDON ACC,129.080,N51.34.23.00 W001.11.38.00/N51.33.02.00 W001.00.00.00/N51.24.30.00 W001.00.00.00/N51.17.05.00 W000.55.08.00/N051.17.5.0 W000.55.8.0/N051.17.2.64 W000.55.14.9/N051.17.0.2 W000.55.21.72/N051.16.57.69 W000.55.28.48/N051.16.55.11 W000.55.35.17/N051.16.52.45 W000.55.41.79/N051.16.49.72 W000.55.48.33/N051.16.46.92 W000.55.54.79/N051.16.44.04 W000.56.1.18/N051.16.41.1 W000.56.7.48/N051.16.38.09 W000.56.13.7/N051.16.35.01 W000.56.19.83/N051.16.31.87 W000.56.25.88/N051.16.28.66 W000.56.31.84/N051.16.25.39 W000.56.37.71/N051.16.22.05 W000.56.43.49/N051.16.18.64 W000.56.49.17/N051.16.15.18 W000.56.54.76/N051.16.11.66 W000.57.0.25/N051.16.8.07 W000.57.5.64/N051.16.4.43 W000.57.10.93/N051.16.0.73 W000.57.16.11/N051.15.56.97 W000.57.21.2/N051.15.53.16 W000.57.26.17/N051.15.49.3 W000.57.31.04/N051.15.45.38 W000.57.35.81/N051.15.41.41 W000.57.40.46/N051.15.37.39 W000.57.45.0/N51.15.35.00 W000.57.48.00/N51.19.56.00 W001.09.18.00/N51.23.48.00 W001.08.22.00/N51.24.35.00 W001.14.44.00/N51.34.23.00 W001.11.38.00,000,000
14,LONDON TMA 13,LONDON ACC,120.530,N51.19.56.00 W001.09.18.00/N51.15.35.00 W000.57.48.00/N051.15.35.0 W000.57.48.0/N051.15.39.05 W000.57.43.53/N051.15.43.06 W000.57.38.94/N051.15.47.01 W000.57.34.24/N051.15.50.91 W000.57.29.43/N051.15.54.76 W000.57.24.52/N051.15.58.55 W000.57.19.5/N051.16.2.29 W000.57.14.37/N051.16.5.97 W000.57.9.14/N051.16.9.59 W000.57.3.81/N051.16.13.15 W000.56.58.37/N051.16.16.66 W000.56.52.84/N051.16.20.1 W000.56.47.21/N051.16.23.48 W000.56.41.49/N051.16.26.8 W000.56.35.68/N051.16.30.05 W000.56.29.77/N051.16.33.24 W000.56.23.77/N051.16.36.36 W000.56.17.68/N051.16.39.41 W000.56.11.51/N051.16.42.4 W000.56.5.26/N051.16.45.31 W000.55.58.92/N051.16.48.16 W000.55.52.5/N051.16.50.94 W000.55.46.0/N051.16.53.64 W000.55.39.43/N051.16.56.27 W000.55.32.78/N051.16.58.83 W000.55.26.06/N051.17.1.32 W000.55.19.27/N051.17.3.73 W000.55.12.41/N51.17.05.00 W000.55.08.00/N51.06.52.00 W000.48.29.00/N51.06.02.00 W000.54.39.00/N50.56.16.00 W000.51.19.00/N50.55.12.00 W000.59.08.00/N50.51.19.00 W000.54.57.00/N50.48.48.00 W000.52.14.00/N50.49.28.00 W001.17.14.00/N50.54.35.00 W001.03.35.00/N51.04.20.00 W001.06.57.00/N51.03.29.00 W001.13.12.00/N51.19.56.00 W001.09.18.00,000,000
15,LONDON TMA 14,LONDON ACC,133.180,N50.57.39.00 W000.41.04.00/N50.58.32.00 W000.34.28.00/N50.55.00.00 W000.22.56.00/N50.55.00.00 W000.38.14.00/N50.57.39.00 W000.41.04.00,000,000
16,LONDON TMA 16,LONDON ACC,118.825,N52.05.48.00 E000.27.01.00/N52.07.13.00 E000.51.49.00/N52.00.24.00 E000.48.48.00/N52.05.48.00 E000.27.01.00,000,000
17,LONDON TMA 17,LONDON ACC,118.825,N52.00.24.00 E000.48.48.00/N52.07.13.00 E000.51.49.00/N51.58.06.00 E000.58.00.00/N52.00.24.00 E000.48.48.00,000,000
18,LONDON TMA 18,LONDON ACC,118.825,N52.05.48.00 E000.27.01.00/N52.11.04.00 E000.05.28.00/N52.11.04.00 E000.32.42.00/N52.12.21.00 E000.48.19.00/N52.07.13.00 E000.51.49.00/N52.05.48.00 E000.27.01.00,000,000
19,LONDON TMA 19,LONDON ACC,119.780,N51.57.45.00 W001.11.26.00/N52.04.21.00 W000.37.12.00/N52.03.16.00 W000.34.41.00/N52.11.26.00 W000.22.20.00/N52.06.06.00 W000.17.12.00/N52.00.38.00 W000.28.32.00/N51.57.43.00 W000.21.45.00/N51.50.21.00 W000.29.31.00/N51.44.57.00 W001.00.00.00/N51.44.20.00 W001.00.41.00/N51.57.45.00 W001.11.26.00,000,000
