,start,end,depart,arrive,string
145,7030,7046,EG\w{2},EGLL,Heathrow
146,7030,7066,EG\w{2},EGNV,Teesside
147,7030,7066,EG\w{2},EGNV,Internatio
148,7030,7077,EG\w{2},EGPD,Aberdeen
149,7030,7077,EG\w{2},EGBK,North
150,7030,7077,EG\w{2},EGFH,Sea
151,7031,7077,EG\w{2},Military,RNAS
152,7046,7047,EG\w{2},EGAA,Aldergrove
153,7050,7056,EG\w{2},EGLL,Heathrow
154,7070,7076,EG\w{2},EGLL,Heathrow
155,7101,7167,EG\w{2},Brussels,Transit
156,7330,7347,EG\w{2},Netherlands,Transit
157,7350,7353,EG\w{2},Military,RNAS
158,7350,7376,EG\w{2},EGHH,Bournemout
159,7351,7377,EG\w{2},EGSH,Norwich
160,7360,7367,EG\w{2},Military,RNAS
161,7402,7414,EG\w{2},EGSS,Stansted
162,7402,7414,EG\w{2},EGGW,Luton
163,7402,7417,EG\w{2},Military,RAF
164,7402,7436,EG\w{2},Military,RNAS
165,7403,7427,EG\w{2},Military,RAF
166,7421,7425,EG\w{2},Military,RAF
167,7440,7477,EG\w{2},France,Transit
168,7510,7535,EG\w{2},Switzerland,Transit
169,7540,7547,EG\w{2},Germany,Transit
170,7550,7567,EG\w{2},Paris,Transit
171,7601,7617,EG\w{2},EGPK,Prestwick
