,name,type,coords,freq
0,ABBEW,FIX,N50.30.11.88 W003.28.33.64,000.000
1,ABBOT,FIX,N52.00.58.00 E000.35.58.49,000.000
2,ABEDA,FIX,N52.19.39.63 E001.52.15.84,000.000
3,ABEVI,FIX,N54.42.27.00 W002.46.29.24,000.000
4,ABGEP,FIX,N53.25.39.32 W004.51.39.71,000.000
5,ABKAT,FIX,N54.08.53.12 W001.58.46.69,000.000
6,ABKIM,FIX,N50.50.43.00 W001.58.58.00,000.000
7,ABLIN,FIX,N52.46.57.86 W004.59.33.38,000.000
8,ABSAV,FIX,N50.38.28.94 W001.10.29.05,000.000
9,ABSUN,FIX,N54.17.32.20 W006.15.17.74,000.000
10,ABTOS,FIX,N53.14.44.92 E000.25.36.29,000.000
11,ABTUM,FIX,N51.26.03.66 E001.22.28.98,000.000
12,ABWIV,FIX,N51.52.48.67 W003.00.32.70,000.000
13,ACBAZ,FIX,N51.44.40.67 W003.02.14.79,000.000
14,ACCAQ,FIX,N51.51.52.62 W003.50.35.63,000.000
15,ACCOP,FIX,N51.55.44.33 W003.22.57.07,000.000
16,ADASI,FIX,N59.13.15.16 W006.17.31.47,000.000
17,ADELU,FIX,N53.26.30.48 W001.32.12.64,000.000
18,ADGEG,FIX,N53.13.43.00 E002.19.06.00,000.000
19,ADHAV,FIX,N51.54.52.88 W005.13.48.51,000.000
20,ADKIK,FIX,N50.47.48.52 W002.32.45.46,000.000
21,ADLOG,FIX,N50.19.25.00 W000.49.33.40,000.000
22,ADMEX,FIX,N52.21.39.20 W001.27.44.81,000.000
23,ADMIS,FIX,N51.59.48.54 E000.10.35.56,000.000
24,ADNAM,FIX,N52.06.16.98 E000.44.18.84,000.000
25,ADODO,FIX,N58.30.00.00 W010.00.00.00,000.000
26,ADRUD,FIX,N49.10.14.00 W006.26.55.00,000.000
27,ADVAS,FIX,N51.40.53.03 E001.26.33.13,000.000
28,ADVAT,FIX,N45.00.00.00 W009.28.11.19,000.000
29,AGBOS,FIX,N51.50.14.72 W003.37.56.19,000.000
30,AGCAT,FIX,N51.51.28.74 W004.44.54.82,000.000
31,AGLIL,FIX,N53.34.41.99 W003.27.11.30,000.000
32,AGORI,FIX,N57.00.00.00 W013.00.00.00,000.000
33,AGPED,FIX,N55.07.18.90 W001.56.57.15,000.000
34,AKIVO,FIX,N59.57.51.58 W009.30.00.00,000.000
35,AKOKO,FIX,N53.14.16.24 E003.12.07.03,000.000
36,AKUPA,FIX,N52.29.11.57 W001.05.28.03,000.000
37,ALASO,FIX,N55.26.50.23 W001.33.53.69,000.000
38,ALAVA,FIX,N53.23.42.60 W003.58.17.31,000.000
39,ALESO,FIX,N50.34.32.24 E001.13.31.50,000.000
40,ALHAD,FIX,N51.23.46.75 W001.08.58.16,000.000
41,ALHUP,FIX,N52.42.44.24 W002.56.28.15,000.000
42,ALOTI,FIX,N57.54.27.01 E003.36.30.27,000.000
43,ALUTA,FIX,N49.00.18.65 W007.29.53.23,000.000
44,AMCON,FIX,N55.34.31.14 W006.38.37.46,000.000
45,AMDUT,FIX,N50.40.27.90 E000.47.46.38,000.000
46,AMLAD,FIX,N56.15.52.37 W010.00.00.00,000.000
47,AMLET,FIX,N53.16.06.52 W001.50.17.59,000.000
48,AMMAN,FIX,N51.50.25.95 W003.59.54.00,000.000
49,AMPIT,FIX,N53.11.39.41 W003.11.32.59,000.000
50,AMPOP,FIX,N49.31.47.68 W006.09.02.85,000.000
51,AMTAP,FIX,N58.22.25.36 W009.30.00.00,000.000
52,AMTOD,FIX,N50.32.15.69 W001.25.44.46,000.000
53,AMVEL,FIX,N53.11.02.96 W000.01.55.16,000.000
54,AMWAB,FIX,N51.46.08.52 W004.01.36.69,000.000
55,ANJAK,FIX,N52.53.50.17 W002.59.33.44,000.000
56,ANNET,FIX,N49.39.05.11 W004.00.05.00,000.000
57,APPLE,FIX,N54.30.00.00 W002.30.50.23,000.000
58,APSOV,FIX,N55.49.22.84 W010.00.00.00,000.000
59,ARKIL,FIX,N50.39.28.00 W008.00.00.00,000.000
