,name,callsign,frequency,boundary,upper_fl,lower_fl
0,LONDON FIR,LONDON ACC,118.480,N55.00.00.00 E005.00.00.00/N51.30.00.00 E002.00.00.00/N51.07.00.00 E002.00.00.00/N51.00.00.00 E001.28.00.00/N50.40.00.00 E001.28.00.00/N50.00.00.00 W000.15.00.00/N50.00.00.00 W002.00.00.00/N48.50.00.00 W008.00.00.00/N51.00.00.00 W008.00.00.00/N52.20.00.00 W005.30.00.00/N55.00.00.00 W005.30.00.00/N55.00.00.00 E005.00.00.00,000,000
1,SCOTTISH FIR,SCOTTISH ACC,119.875,N61.00.00.00 E000.00.00.00/N60.00.00.00 E000.00.00.00/N57.00.00.00 E005.00.00.00/N55.00.00.00 E005.00.00.00/N55.00.00.00 W005.30.00.00/N53.55.00.00 W005.30.00.00/N54.25.00.00 W008.10.00.00/N55.20.00.00 W006.55.00.00/N55.25.00.00 W007.20.00.00/N55.20.00.00 W008.15.00.00/N54.45.00.00 W009.00.00.00/N54.34.00.00 W010.00.00.00/N61.00.00.00 W010.00.00.00/N61.00.00.00 E000.00.00.00,000,000
2,SHANWICK OCEANIC FIR,SHANWICK OAC,123.950,N61.00.00.00 W030.00.00.00/N61.00.00.00 W010.00.00.00/N54.34.00.00 W010.00.00.00/N54.00.00.00 W015.00.00.00/N51.00.00.00 W015.00.00.00/N51.00.00.00 W008.00.00.00/N45.00.00.00 W008.00.00.00/N45.00.00.00 W030.00.00.00/N61.00.00.00 W030.00.00.00,000,000
3,SCOTTISH FIR,LONDON ACC,118.780,N61.00.00.00 W030.00.00.00/N61.00.00.00 W010.00.00.00/N54.34.00.00 W010.00.00.00/N54.00.00.00 W015.00.00.00/N51.00.00.00 W015.00.00.00/N51.00.00.00 W008.00.00.00/N45.00.00.00 W008.00.00.00/N45.00.00.00 W030.00.00.00/N61.00.00.00 W030.00.00.00,000,000
