,name,boundary,floor,ceiling
42,EG D064BZ ,N51.20.32.00 W006.21.18.00/N51.21.22.00 W006.17.40.00/N51.16.50.00 W005.21.36.00/N51.14.08.00 W005.17.42.00/N51.05.42.00 W005.17.11.00/N50.27.18.00 W005.36.49.00/N50.25.27.00 W005.40.15.00/N50.23.24.00 W006.02.43.00/N50.25.40.00 W006.07.47.00/N51.16.24.00 W006.24.55.00/N51.18.45.00 W006.23.54.00/N51.20.32.00 W006.21.18.00,0,660
43,EG D064C ,N51.12.07.00 W005.25.32.00/N51.10.28.00 W005.06.21.00/N50.54.43.00 W004.33.52.00/N50.47.12.00 W004.33.27.00/N50.44.23.00 W004.39.14.00/N50.43.28.00 W004.39.21.00/N50.30.12.00 W005.43.35.00/N51.06.24.00 W005.25.10.00/N51.12.07.00 W005.25.32.00,0,660
44,EG D064CZ ,N51.17.13.00 W005.26.13.00/N51.15.14.00 W005.03.11.00/N50.57.59.00 W004.27.37.00/N50.56.00.00 W004.26.01.00/N50.46.09.00 W004.25.31.00/N50.43.58.00 W004.27.09.00/N50.41.46.00 W004.31.40.00/N50.41.32.00 W004.31.42.00/N50.39.09.00 W004.34.42.00/N50.25.01.00 W005.43.12.00/N50.25.39.00 W005.47.30.00/N50.27.38.00 W005.50.39.00/N50.30.22.00 W005.51.43.00/N51.07.05.00 W005.33.09.00/N51.13.02.00 W005.33.33.00/N51.15.04.00 W005.32.11.00/N51.16.34.00 W005.29.35.00/N51.17.13.00 W005.26.13.00,0,660
45,EG D110 BRAUNTON BURROWS,N51.06.02.00 W004.15.29.00/N51.06.06.00 W004.12.03.00/N51.05.00.00 W004.12.00.00/N51.04.58.00 W004.13.15.00/N51.05.16.00 W004.13.44.00/N51.05.14.00 W004.15.27.00/N51.06.02.00 W004.15.29.00,0,2000
46,EG D113A ,N51.39.37.00 W005.18.30.00/N51.39.37.00 W005.04.43.00/N51.39.06.00 W005.03.20.00/N51.31.30.00 W005.05.30.00/N51.29.00.00 W005.03.30.00/N51.29.00.00 W004.54.32.00/N51.24.30.00 W005.02.20.00/N51.42.13.00 W004.56.47.00/N51.36.10.00 W005.24.08.00/N51.39.37.00 W005.18.30.00,0,40000
47,EG D113AZ ,N51.40.37.00 W005.19.09.00/N51.40.37.00 W005.04.16.00/N51.39.48.00 W005.02.05.00/N51.39.14.00 W005.01.40.00/N51.31.39.00 W005.03.50.00/N51.30.00.00 W005.02.31.00/N51.30.00.00 W004.54.02.00/N51.29.39.00 W004.53.13.00/N51.29.05.00 W004.52.52.00/N51.28.28.00 W004.53.05.00/N51.23.34.00 W005.01.36.00/N51.23.27.00 W005.02.16.00/N51.42.13.00 W004.56.47.00/N51.36.06.00 W005.25.50.00/N51.36.39.00 W005.25.38.00/N51.40.37.00 W005.19.09.00,0,40000
48,EG D113B ,N51.39.06.00 W005.03.20.00/N51.32.30.00 W005.04.00.00/N51.36.18.00 W004.55.20.00/N51.36.18.00 W004.53.32.00/N51.32.30.00 W004.48.30.00/N51.29.00.00 W004.54.32.00/N51.29.00.00 W005.03.30.00/N51.31.30.00 W005.05.30.00/N51.39.06.00 W005.03.20.00,0,45000
49,EG D113BZ ,N51.40.07.00 W005.03.53.00/N51.32.30.00 W005.04.00.00/N51.37.18.00 W004.54.30.00/N51.37.18.00 W004.53.10.00/N51.37.06.00 W004.52.32.00/N51.32.50.00 W004.46.52.00/N51.32.02.00 W004.46.57.00/N51.28.00.00 W004.53.54.00/N51.28.00.00 W005.03.57.00/N51.28.18.00 W005.04.44.00/N51.31.21.00 W005.07.10.00/N51.39.38.00 W005.04.49.00/N51.40.07.00 W005.03.53.00,0,45000
50,EG D115A ,N51.38.15.00 W004.50.12.00/N51.38.15.00 W004.47.00.00/N51.38.15.00 W004.43.48.00/N51.38.15.00 W004.50.12.00,0,27000
51,EG D115AZ ,N51.37.45.00 W004.51.45.00/N51.38.15.00 W004.47.00.00/N51.37.45.00 W004.42.15.00/N51.37.15.00 W004.43.13.00/N51.37.15.00 W004.50.47.00/N51.37.45.00 W004.51.45.00,0,27000
52,EG D115B ,N51.38.15.00 W004.50.12.00/N51.38.15.00 W004.43.48.00/N51.33.45.00 W004.30.19.00/N51.38.15.00 W004.47.00.00/N51.32.08.00 W005.02.18.00/N51.38.15.00 W004.50.12.00,0,50000
53,EG D115BZ ,N51.39.15.00 W004.50.46.00/N51.39.15.00 W004.43.24.00/N51.34.27.00 W004.29.01.00/N51.33.44.00 W004.28.35.00/N51.38.15.00 W004.47.00.00/N51.31.56.00 W005.03.59.00/N51.32.40.00 W005.03.46.00/N51.39.15.00 W004.50.46.00,0,50000
54,EG D117 PENDINE,N51.35.10.00 W004.24.00.00/N51.36.29.00 W004.37.52.00/N51.39.58.00 W004.37.43.00/N51.45.15.00 W004.33.00.00/N51.45.24.00 W004.25.17.00/N51.44.45.00 W004.24.00.00/N51.35.10.00 W004.24.00.00,0,23000
55,EG D117Z ,N51.46.14.00 W004.33.29.00/N51.46.25.00 W004.24.44.00/N51.45.23.00 W004.22.42.00/N51.44.58.00 W004.22.23.00/N51.34.57.00 W004.22.24.00/N51.34.33.00 W004.22.41.00/N51.34.16.00 W004.23.13.00/N51.34.09.00 W004.23.54.00/N51.35.33.00 W004.38.42.00/N51.36.08.00 W004.39.29.00/N51.40.14.00 W004.39.19.00/N51.45.58.00 W004.34.12.00/N51.46.14.00 W004.33.29.00,0,23000
56,EG D118 PEMBREY,N51.46.25.00 W004.24.00.00/N51.43.13.00 W004.21.44.00/N51.40.01.00 W004.24.00.00/N51.46.25.00 W004.24.00.00,0,12000
57,EG D118Z ,N51.47.11.00 W004.25.08.00/N51.43.13.00 W004.21.44.00/N51.39.15.00 W004.25.08.00/N51.39.44.00 W004.25.36.00/N51.46.41.00 W004.25.37.00/N51.47.11.00 W004.25.08.00,0,12000
58,EG D119 BRIDGWATER BAY,N51.12.24.00 W003.13.53.00,0,5000
59,EG D120 BOSCOMBE DOWN,N51.10.52.00 W001.48.02.00/N51.10.59.00 W001.46.41.00/N51.10.44.00 W001.43.08.00/N51.11.05.00 W001.42.28.00/N51.09.12.00 W001.45.04.00/N51.08.44.00 W001.41.10.00/N51.08.01.00 W001.42.48.00/N51.07.30.00 W001.42.48.00/N51.06.46.00 W001.44.09.00/N51.07.46.00 W001.48.19.00/N51.09.12.00 W001.45.04.00/N51.10.52.00 W001.48.02.00,0,2500
60,EG D122A ,N51.13.29.00 W002.11.49.00/N51.11.06.00 W002.07.13.00/N51.10.06.00 W001.57.02.00/N51.01.25.00 W001.57.02.00/N50.59.38.00 W002.07.14.00/N51.01.20.00 W002.11.49.00/N51.13.29.00 W002.11.49.00,0,160
61,EG D122B ,N51.10.59.00 W001.46.41.00/N51.10.44.00 W001.43.08.00/N51.03.57.00 W001.42.30.00/N51.01.25.00 W001.57.02.00/N51.10.06.00 W001.57.02.00/N51.10.59.00 W001.46.41.00,0,160
62,EG D122C ,N51.13.35.00 W001.37.25.00/N51.12.36.00 W001.30.44.00/N51.05.27.00 W001.33.42.00/N51.03.57.00 W001.42.30.00/N51.10.44.00 W001.43.08.00/N51.12.33.00 W001.39.42.00/N51.12.47.00 W001.37.59.00/N51.13.35.00 W001.37.25.00,0,160
63,EG D123 IMBER,N51.17.24.00 W002.01.07.00/N51.13.39.00 W001.57.46.00/N51.13.48.00 W001.57.05.00/N51.10.23.00 W001.53.25.00/N51.10.06.00 W001.57.02.00/N51.11.06.00 W002.07.13.00/N51.13.29.00 W002.11.49.00/N51.15.16.00 W002.09.39.00/N51.17.05.00 W002.03.12.00/N51.17.24.00 W002.01.07.00,0,50000
